Id;Encontrado;Nombre;Efecto;Tipo
25;0;BREAKFAST;Da un contenedor de vida roja lleno.;PASIVO
26;0;ROTTEN MEAT;Da un contenedor de vida roja lleno;PASIVO
27;0;WOODEN SPOON;Da velocidad +0.3.;PASIVO
28;0;THE BELT;Da velocidad +0.3.;PASIVO
29;0;MOM'S UNDERWEAR;Da rango +5.25 y +0.5 de altura de lagrima.;PASIVO
30;0;MOM'S HEELS;Da rango +5.25 y +0.5 de altura de lagrima. ;PASIVO
31;0;MOM'S LIPSTICK;Da rango +5.25 y +0.5 de altura de lagrima.;PASIVO
32;0;WIRE COAT HANGER;Da lagrimas +0.7.;PASIVO
33;0;THE BIBLE;Al activarlo, isaac puede volar durante la habitacion actual, mata instantaneamente a mom, mom's heart y it lives, y mata a isaac si se usa contra satan.;ACTIVO
34;0;THE BOOK OF BELIAL;Dano +2 durante la habitacion actual.aumenta la probabilidad de que aparezca la habitacion de satan un 12.5%.;ACTIVO
35;0;THE NECRONOMICON;Causa 40 de dano a todos los enemigos de la habitacion.;ACTIVO
36;0;THE POOP;Hace aparecer una caca en el lugar donde isaac se encuentre y empuja a los enemigos cercanos. puede generar recursos como las cacas normales.;ACTIVO
37;0;MR. BOOM;Coloca una bomba con efecto de mr. mega que causa 110 de dano.;ACTIVO
38;0;TAMMY'S HEAD;Dispara 10 lagrimas alrededor de isaac que toman su dano, velocidad de proyectil y efectos de lagrima.;ACTIVO
39;0;MOM'S BRA;Petrifica a todos los enemigos en la habitacion durante 4 segundos.;ACTIVO
40;0;KAMIKAZE;Crea una explosion en el mismo lugar que isaac, danandolo medio corazon y causando 40 de dano a los enemigos atrapados por la explosion.;ACTIVO
41;0;MOM'S PAD;Causa miedo en todos los enemigos de la habitacion durante 5 segundos.;ACTIVO
42;0;BOB'S ROTTEN HEAD;Al activarlo, isaac sostiene una bomba venenosa que puede lanzar en las direcciones cardinales y explota al impactar.;ACTIVO
44;0;TELEPORT;Teletransporta a isaac a una habitacion al azar del piso actual.;ACTIVO
45;0;YUM HEART;Cura un corazon rojo.;ACTIVO
46;0;LUCKY FOOT;Da suerte +1, aumenta la probabilidad de ganar en el trile y maquinas de la fortuna.;PASIVO
47;0;DOCTOR'S REMOTE;Crea una mira en el piso que se puede mover con los controles de disparo. un misil cae en ese punto despues de 2 segundos, creando una gran explosion.;ACTIVO
48;0;CUPID'S ARROW;Da lagrimas perforantes que atraviesan enemigos.;PASIVO
49;0;SHOOP DA WOOP!;Dispara un laser desde la boca de isaac.;ACTIVO
50;0;STEVEN;Da dano +1.;PASIVO
51;0;PENTAGRAM;Da dano +1. aumenta la probabilidad de la habitacion del pacto un 10%.;PASIVO
52;0;DR. FETUS;Las lagrimas son reemplazadas por bombas que aprovechan efectos de bomba.;PASIVO
53;0;MAGNETO;Atrae los recursos hacia isaac.;PASIVO
54;0;TREASURE MAP;Revela todas las habitaciones del piso, pero no revela el tipo de habitacion ni las habitaciones secretas.;PASIVO
55;0;MOM'S EYE;Puede disparar una lagrima adicional desde la parte trasera de la cabeza de isaac.;PASIVO
56;0;LEMON MISHAP;Crea un pequeno charco de creep, danando a los enemigos que lo pisen.;ACTIVO
57;0;DISTANT ADMIRATION;Una mosca que orbita alrededor de isaac a una distancia intermedia, causando dano por contacto.;PASIVO
58;0;BOOK OF SHADOWS;Crea un escudo que anula todo tipo de dano durante 10 segundos.;ACTIVO
60;0;THE LADDER;Permite caminar sobre agujeros del tamanod de un cuadro colocando automaticamente una escalera entre dos secciones caminables.;PASIVO
62;0;CHARM OF THE VAMPIRE;Cura a isaac medio corazon rojo por cada 13 enemigos matados.;PASIVO
63;0;THE BATTERY;Los objetos activables pueden ser "sobrecargados" para tener una segunda carga de uso.;PASIVO
64;0;STEAM SALE;Reduce todos los precios de la tienda a la mitad.;PASIVO
65;0;ANARCHIST'S BOOK;Hace aparecer 6 bombas troll en la habitacion.;ACTIVO
66;0;THE HOURGLASS;Todos los enemigos de la habitacion son ralentizados durante 8 segundos.;ACTIVO
67;0;SISTER MAGGY;Un familiar que dispara lagrimas normales;PASIVO
68;0;TECHNOLOGY;Reemplaza las lagrimas de isaac por un laser perforante de rango ilimitado.;PASIVO
69;0;CHOCOLATE MILK;Da lagrimas cargadas que causan mucho dano cuando la carga esta completa.;PASIVO
70;0;GROWTH HORMONES;Da dano +1 y velocidad +0.4.;PASIVO
71;0;MINI MUSH;Reduce el tamano de isaac y da velocidad +0.3, +1.5 de altura de lagrima y rango -4.25.;PASIVO
72;0;ROSARY;Da 3 corazones de alma y permite que the bible pueda aparecer en cualquier fuente de obtencion de objetos.;PASIVO
73;0;CUBE OF MEAT;Un familiar orbital que bloquea proyectiles y causa dano por contacto. conseguir copias adicionales le permitira disparar, despues podra seguir a enemigos y en su ultimo nivel causa mas dano.;PASIVO
74;0;A QUARTER;Da 25 monedas.;PASIVO
75;0;PHD;Convierte las pildoras malas en pildoras buenas, hace aparecer una pildora e identifica todas las pildoras. cura 2 corazones rojos y aumenta el pago de las maquinas de donacion de sangre.;PASIVO
76;0;X-RAY VISION;Revela y abre las entradas de las habitaciones secretas y super secretas.;PASIVO
77;0;MY LITTLE UNICORN;Da invencibilidad y velocidad +0.28 durante 6 segundos, pero isaac no puede disparar. en este estado, causa 40 de dano por contacto a los enemigos.;ACTIVO
78;0;BOOK OF REVELATIONS;Da un corazon de alma, aumenta la probabilidad de que aparezca la habitacion del diablo o habitacion del angel y tiene una probabilidad de cambiar al jefe del piso por un jinete del apocalipsis.;ACTIVO
79;0;THE MARK;Da un corazon de alma, dano +1 y velocidad +0.2.;PASIVO
80;0;THE PACT;Da dano +.5, lagrimas +0.7 y 2 corazones de alma.;PASIVO
81;0;DEAD CAT;Deja a isaac con solo 1 contenedor de vida roja, pero da 9 vidas extra. isaac revive con 1 contenedor de vida roja.;PASIVO
82;0;LORD OF THE PIT;Da vuelo y velocidad +0.3.;PASIVO
83;0;THE NAIL;Da un corazon de alma. durante la habitacion actual, isaac recibe dano 0.7, velocidad -0.18 y permite destruir rocas y causar dano a los enemigos al caminar hacia ellos;PASIVO
84;0;WE NEED TO GO DEEPER;Crea una trampilla al siguiente piso.;PASIVO
85;0;DECK OF CARDS;Da una carta al azar.;ACTIVO
86;0;MONSTRO'S TOOTH;Un monstro aliado salta sobre un enemigo al azar, causando 120 de dano en area. cae sobre isaac si no hay enemigos en la habitacion.;ACTIVO
87;0;LOKI'S HORNS;Isaac puede disparar 4 lagrimas en las direcciones cardinales.;PASIVO
88;0;LITTLE CHUBBY;Un familiar que carga y embiste hacia adelante, causando dano por contacto en su camino.;PASIVO
89;0;SPIDER BITE;Las lagrimas pueden ralentizar.;PASIVO
90;0;THE SMALL ROCK;Da dano +1, lagrimas +0.2 y velocidad -0.2.;PASIVO
91;0;SPELUNKER HAT;Revela el tipo de las habitaciones adyacentes, incluyendo la habitacion secreta y super secretas.;PASIVO
92;0;SUPER BANDAGE;Da un contenedor de vida roja lleno y dos corazones de alma.;PASIVO
93;0;THE GAMEKID;Da invencibilidad durante 6 segundos, y todos los enemigos recibiran efecto de miedo. isaac recuperara medio corazon rojo por cada 2 enemigos matados.;ACTIVO
94;0;SACK OF PENNIES;Un familiar que suelta una moneda cada 2 habitaciones.;PASIVO
95;0;ROBO-BABY;Un familiar que dispara laseres de technology.;PASIVO
96;0;LITTLE C.H.A.D;Un familiar que suelta mitades de corazon rojo cada 3 habitaciones.;PASIVO
97;0;THE BOOK OF SIN;Hace aparecer un recurso, pildora, carta o baratija al azar.;ACTIVO
98;0;THE RELIC;Un familiar que suelta corazones de alma cadad 5-6 habitaciones.;PASIVO
99;0;LITTLE GISH;Un familiar que dispara lagrimas que ralentizan.;PASIVO
100;0;LITTLE STEVEN;Un familiar que dispara lagrimas que siguen a los enemigos.;PASIVO
101;0;THE HALO;Da un contenedor de vida roja lleno, dano +0.3, lagrimas +0.2, rango +0.25, velocidad +0.3 y +0.5 de altura de lagrima.;PASIVO
102;0;MOM'S BOTTLE OF PILLS;Genera una pildora al azar.;PASIVO
103;0;THE COMMON COLD;Las lagrimas pueden ser venenosas.;PASIVO
104;0;THE PARASITE;Las lagrimas de isaac se dividen en 2 al impactar.;PASIVO
105;0;THE D6;Cambia los objetos de la habitacion actual por otros objetos de la fuente de obtencion de objetos de la misma habitacion.;ACTIVO
106;0;MR. MEGA;Da 5 bombas. las bombas seran mas grandes y tendran un mayor alcance y dano.;PASIVO
107;0;PINKING SHEARS;Da vuelo durante la habitacion actual, y convierte el cuerpo de isaac en un familiar rapido que causa mucho dano por contacto.;ACTIVO
108;0;THE WAFER;Todas las fuentes de dano causan solo medio corazon de dano.;PASIVO
109;0;MONEY=POWER;Da de dano +0.04 por cada moneda que isaac tenga.;PASIVO
110;0;MOM'S CONTACTS;Da rango +0.25. puede disparar lagrimas que petrifican.;PASIVO
111;0;THE BEAN;Isaac suelta un gas que envenena a los enemigos cercanos.;ACTIVO
112;0;GUARDIAN ANGEL;Un familiar orbital que bloquea proyectiles y causa dano por contacto. aumenta la velocidad a la que orbitan el resto de familiares.;PASIVO
113;0;DEMON BABY;Un familiar que sigue a isaac y dispara automaticamente a los enemigos a su alcance.;PASIVO
114;0;MOM'S KNIFE;Reemplaza las lagrimas de isaac por un cuchillo que perfora y puede pasar a traves de obstaculos. puede danar mientras iasac lo sostiene, y cargar permite lanzarlo.;PASIVO
115;0;OUIJA BOARD;Da lagrimas espectrales que pueden atravesar obstaculos.;PASIVO
116;0;9 VOLT;Reduce las cargas de los objetos activables en 1. los objetos de 1 carga se cargan con el tiempo.;PASIVO
117;0;DEAD BIRD;Al recibir dano, hace aparecer un familiar que sigue a los enemigos durante la habitacion actual y causa ~5 de dano por contacto.;PASIVO
118;0;BRIMSTONE;Las lagrimas son reemplazadas por un rayo laser que atraviesa a todos los enemigos y obstaculos en su camino y causa mucho dano. necesita ser cargado.;PASIVO
119;0;BLOOD BAG;Da un contenedor de vida roja, cura 5 corazones rojos y da velocidad+ 0.3.;PASIVO
120;0;ODD MUSHROOM (THIN);Da lagrimas +1.7, velocidad +0.3 y reduce ligeramente el dano. ;PASIVO
121;0;ODD MUSHROOM (LARGE);Da un contenedor de vida roja vacio, dano +0.3, rango +0.25, +0.5 de altura de lagrima y velocidad -0.1.;PASIVO
122;0;WHORE OF THE BABYLON;Da dano +1.5 y velocidad +0.3 cuando isaac tiene medio corazon rojo o menos, ignorando corazones de alma o negros.;PASIVO
123;0;MONSTER MANUAL;Hace aparecer un familiar de una seleccion especifica durante la habitacion actual;ACTIVO
124;0;DEAD SEA SCROLLS;Activa un efecto al azar de una lista de objetos activables. no se incluyen todos los objetos activables.;ACTIVO
125;0;BOBBY-BOMB;Da 5 bombas. las bombas seguiran a los enemigos.;PASIVO
126;0;RAZOR BLADE;Isaac recibe un corazon de dano y obtiene dano +1.2 durante la habitacion actual.;ACTIVO
127;0;FORGET ME NOW;Reinicia el piso actual y se consume.;ACTIVO
128;0;FOREVER ALONE;Una mosca que orbita lejos, causando 30 de dano por segundo.;PASIVO
129;0;BUCKET OF LARD;Da 2 contenedores de vida roja vacios y cura a isaac medio corazon, pero pierde velocidad- 0.2.;PASIVO
130;0;A PONY;Permite volar mientras se lleve el objeto, y aumenta la velocidad hasta que sea minimo de 1.5. al activarlo, isaac embiste en la direccion en la que el pony apunta, dandole invencibilidad durante la embestida y causando 40 de dano.;ACTIVO
131;0;BOMB BAG;Un familiar que suelta bombas cada 3 habitaciones.;PASIVO
132;0;A LUMP OF COAL;Las lagrimas hacen mas dano conforme viajan mas distancia.;PASIVO
133;0;GUPPY'S PAW;Convierte un contenedor de vida roja en tres corazones de alma.;ACTIVO
134;0;GUPPY'S TAIL;Las recompensas por limpiar habitaciones tienen un 33% de probabilidad de ser reemplazadas por un cofre y un 33% de probabilidad de ser reemplazadas por nada.;PASIVO
135;0;IV BAG;Isaac recibe medio corazon de dano (o un corazon a partir de {{p|womb}}) y recibe una cantidad aleatoria de monedas, similar a usar una maquina de donacion de sangre.;ACTIVO
136;0;BEST FRIEND;Hace aparecer un senuelo que explota despues de un momento con un radio de explosion mas grande que el de una bomba.;ACTIVO
137;0;REMOTE DETONATOR;Las bombas colocadas por isaac solo explotaran cuando isaac active remote detonator. da 5 bombas.;ACTIVO
138;0;STIGMATA;Da un contenedor de vida roja y aumenta el dano.;PASIVO
139;0;MOM'S PURSE;Permite llevar una segunda baratija a la vez.;PASIVO
140;0;BOB'S CURSE;Da 5 bombas y le da a las bombas de isaac efecto venenoso.;PASIVO
141;0;PAGEANT BOY;Hace aparecer 7 monedas al azar.;PASIVO
142;0;SCAPULAR;Una vez por habitacion, cuando isaac recibe dano y solo le queda medio corazon de vida, obtiene un corazon de alma.;PASIVO
143;0;SPEED BALL;Da velocidad +0.3 y velocidad del proyectil +0.2.;PASIVO
144;0;BUM FRIEND;Un familiar que recoge monedas y da recursos al azar a cambio. no suelta objetos de pedestal.;PASIVO
145;0;GUPPY'S HEAD;Hace aparecer 2-4 moscas azules.;ACTIVO
146;0;PRAYER CARD;Da un corazon eterno.;ACTIVO
147;0;NOTCHED AXE;Isaac destruye obstaculos y puede abrir la entrada a las habitaciones secretas al pasar hacia ellas, pero no puede disparar o recoger objetos hasta cancelar el efecto.;ACTIVO
148;0;INFESTATION;Hace aparecer 1-3 moscas azules al recibir dano. ;PASIVO
149;0;IPECAC;Las lagrimas son explosivas y venenosas, y se disparan en arco desde la boca.;PASIVO
150;0;TOUGH LOVE;Puede disparar dientes en lugar de lagrimas, los cuales causan mas dano.;PASIVO
151;0;THE MULLIGAN;Las lagrimas tienen 1/6 de probabilidad de generar moscas azules al golpear a un enemigo.;PASIVO
152;0;TECHNOLOGY 2;Reemplaza las lagrimas del ojo derecho por un laser perforante de rango ilimitado que dispara continuamente. ;PASIVO
153;0;MUTANT SPIDER;Da disparo cuadruple pero disminuye la cadencia.;PASIVO
154;0;CHEMICAL PEEL;Las lagrimas del ojo izquierdo tienen un aumento plano de dano +2.;PASIVO
155;0;THE PEEPER;Un familiar que flota por la habitacion diagonalmente, causando dano por contacto.;PASIVO
156;0;HABIT;Recibir dano da una carga al objeto activable.;PASIVO
157;0;BLOODY LUST;Aumenta el dano de isaac al recibir dano, hasta 6 veces. la bonificacion se reinicia al pasar a un nuevo piso.;PASIVO
158;0;CRYSTALL BALL;Revela el mapa (excepto la habitacion super secreta y suelta un corazon de alma o una carta/runa al azar.;ACTIVO
159;0;SPIRIT OF THE NIGHT;Da vuelo y lagrimas espectrales.;PASIVO
160;0;CRACK THE SKY;Invoca 5 rayos de luz en ubicaciones aleatorias, causando mucho dano a los enemigos que los toquen.;ACTIVO
161;0;ANKH;Al morir, el jugador revive como ??? con 3 corazones de alma.;PASIVO
162;0;CELTIC CROSS;Tiene una probabilidad de dar un escudo que anula todo tipo de dano durante 7 segundos al recibir dano.;PASIVO
163;0;GHOST BABY;	un familiar que dispara lagrimas espectrales.;PASIVO
164;0;THE CANDLE;Lanza una llama temporal que pasa por encima de agujeros (pero no obstaculos). la llama dana a todo en su camino.;ACTIVO
165;0;CAT-O-NINE-TAILS;Da dano +1 y velocidad del proyectil +0.23.;PASIVO
166;0;D20;Cambia todos los recursos de la habitacion.;ACTIVO
167;0;HARLEQUIN BABY;Un familiar que dispara dos lagrimas a la vez diagonalmente.;PASIVO
168;0;EPIC FETUS;Las lagrimas de isaac son reemplazadas por misiles guiados, como los de doctor's remote.;PASIVO
169;0;POLYPHEMUS;Isaac dispara lagrimas grandes que causan mucho dano pero reduce mucho su cadencia. si una lagrima mata a un enemigo, lo atraviesa con el dano restante.;PASIVO
170;0;DADDY LONGLENGS;La sombra de daddy long legs seguirá a isaac y a veces pisa a los enemigos.;PASIVO
171;0;SPIDER BUTT;Causa 10 de dano a todos los enemigos en la habitacion y los ralentiza durante 10 segundos.;ACTIVO
172;0;SACRIFICAL DAGGER;Un familiar orbital que causa 225 de dano por segundo al contacto y bloquea proyectiles.;PASIVO
173;0;MITRE;Puede convertir corazones rojos en corazones de alma.;PASIVO
174;0;RAINBOW BABY;Un familiar que dispara lagrimas con efectos al azar.;PASIVO
175;0;DAD'S KEY;Abre todas las puertas en la habitacion actual.;ACTIVO
176;0;STEM CELLS;Da un contenedor de vida roja lleno y velocidad del proyectil +0.16.;PASIVO
177;0;PORTABLE SLOT;Gasta 1 moneda y tiene una probabilidad de soltar un recurso al azar.;ACTIVO
178;0;HOLY WATER;Un familiar que se rompe cuando isaac recibe dano, dejando un charco de creep azul. ;PASIVO
179;0;FATE;Da vuelo y 1 corazon eterno.;PASIVO
180;0;THE BLACK BEAN;Cuando isaac recibe dano, suelta un gas que envenena a los enemigos cercanos.;PASIVO
181;0;WHITE PONY;Pasivamente da vuelo y aumenta la velocidad hasta tener 1.5. al activarlo, isaac embiste en la direccion en la que el pony este viendo, dando invencibilidad durante la carga y causando 40 de dano mientras invoca el efecto de crack the sky.;ACTIVO
182;0;SACRED HEART;Da dano x2.3, un aumento base de dano +1, rango +4.125, +0.75 de altura de lagrima, lagrimas -0.4, velocidad del proyectil -0.25, un contenedor de vida roja y cura toda la vida roja. las lagrimas tambien seguiran a los enemigos.;PASIVO
183;0;TOOTHPICKS;Da lagrimas +0.7 y velocidad del proyectil +0.16.;PASIVO
184;0;HOLY GRAIL;Da vuelo y 1 contenedor de vida roja.;PASIVO
185;0;DEAD DOVE;Da vuelo y lagrimas espectrales.;PASIVO
186;0;BLOOD RIGHTS;Al activarlo, isaac recibe un corazon de dano y causa 40 de dano a todos los enemigos en la habitacion.;ACTIVO
187;0;GUPPY'S HAIRBALL;Un familiar que sigue a isaac, bloquea proyectiles y causa dano. crece al matar enemigos.;PASIVO
188;0;ABEL;Hace aparecer un familiar que imita los movimientos de isaac y dispara en direccion opuesta.;PASIVO
189;0;SMB SUPER FAN;Da un contenedor de vida roja, dano +0.3, lagrimas +0.2, velocidad +0.2, rango +0.5, +1 de altura de lagrima y cura completamente la vida roja.;PASIVO
190;0;PYRO;Da 99 bombas.;PASIVO
191;0;3 DOLLAR BILL;Da efectos de lagrima al azar en cada habitacion. ;PASIVO
192;0;TELEPATH FOR DUMMIES;Da efecto de lagrimas que van hacia el enemigo durante la habitacion actual.;ACTIVO
193;0;MEAT!;Da un contenedor de vida roja lleno y dano +0.3.;PASIVO
194;0;MAGIC 8 BALL;Da velocidad del proyectil +0.16, hace aparecer una carta al azar.;PASIVO
195;0;MOM'S COIN PURSE;Hace aparecer 4 pildoras al azar.;PASIVO
196;0;SQUEEZY;Da lagrimas +0.4 y hace aparecer 2 corazones de alma.;PASIVO
197;0;JESUS JUICE;Da dano +0.5, rango +0.25 y +0.5 de altura de lagrima.;PASIVO
198;0;BOX;Hace aparecer 1 moneda, 1 llave, 1 bomba, 1 corazon rojo, 1 carta o runa, 1 pildora y 1 baratija.;PASIVO
199;0;MOM'S KEY;Da 2 llaves. los cofres soltaran mas recursos.;PASIVO
200;0;MOM'S EYESHADOW;Las lagrimas pueden enamorar a los enemigos.;PASIVO
201;0;IRON BAR;Da dano +0.3 y puede disparar lagrimas que aturden.;PASIVO
202;0;MIDAS TOUCH;Los enemigos que toquen a isaac son petrificados temporalmente y convertidos en oro. los enemigos matados en este estado soltaran monedas.;PASIVO
203;0;HUMBLING BUNDLE;Reemplaza los corazones rojos, monedas, llaves y bombas por sus versiones dobles.;PASIVO
204;0;FANNY PACK;Isaac puede soltar recursos al azar al recibir dano.;PASIVO
205;0;SHARP PLUG;Dana a isaac a cambio de recargar el objeto activable actual.;PASIVO
206;0;THE GUILLOTINE;Remueve la cabeza de isaac de su cuerpo y vuela a su alrededor como un orbital. da dano +1 y lagrimas +1.;PASIVO
207;0;BALL OF BANDAGES;Hace aparecer un familiar orbital que bloquea proyectiles y causa dano por contacto. conseguir copias adicionales le da la habilidad de disparar lagrimas que enamoran, despues persigue a los enemigos y despues aumenta el dano.;PASIVO
208;0;CHAMPION BELT;Aumenta el dano y la probabilidad de que aparezcan enemigos campeones.;PASIVO
209;0;BUTT BOMBS;Da 5 bombas. las bombas crean una nube que cubre toda la pantalla, danando y confundiendo a todos los enemigos.;PASIVO
210;0;GNAWED LEAF;Al no moverse y no disparar, isaac se vuelve invencible hasta que se mueva o dispare.;PASIVO
211;0;SPIDER BABY;Al recibir dano, genera 1-2 aranas azules.;PASIVO
212;0;GUPPY'S COLLAR;Al morir, isaac tiene un 50% de probabilidad de revivir con medio corazon.;PASIVO
213;0;LOST CONTACT;Las lagrimas pueden destruir proyectiles enemigos. da velocidad del proyectil -0.16.;PASIVO
214;0;ANEMIC;Aumenta el rango. al recibir dano, isaac deja un rastro de creep rojo hasta salir de la habitacion.;PASIVO
215;0;GOAT HEAD;La habitacion del pacto siempre se abrira tras vencer al jefe del piso, excepto en el primer piso y despues de the womb ii.;PASIVO
216;0;CEREMONIAL ROBES;Da 3 corazones negros y dano +1.;PASIVO
217;0;MOM'S WIG;Puede hacer aparecer aranas azules mientras se dispara. cura 1 corazon rojo.;PASIVO
218;0;PLACENTA;Da un contenedor de vida roja lleno, y regenera medio corazon rojo cada minuto.;PASIVO
219;0;OLD BANDAGE;Da un contenedor de vida roja vacio. isaac puede soltar corazones rojos al recibir dano.;PASIVO
220;0;SAD BOMBS;Da 5 bombas. al explotar, las bombas disparan 10 lagrimas a su alrededor que toman los efectos de lagrima de isaac.;PASIVO
221;0;RUBBER CEMENT;Las lagrimas rebotan al chocar contra paredes, enemigos y obstaculos.;PASIVO
222;0;ANTI-GRAVITY;Da lagrimas +2. las lagrimas flotan en una posicion hasta que se deje de disparar, y entonces vuelan en la direccion en la que fueron disparadas.;PASIVO
223;0;PYROMANIAC;Da 5 bombas y las explosiones curan a isaac en lugar de hacerle dano.;PASIVO
224;0;CRICKET'S BODY;Da lagrimas -1 y reduce el rango. cuando las lagrimas impactan, hacen aparecer 4 lagrimas mas pequenas cuyo rango y dano escalan con los atributos de isaac.;PASIVO
225;0;GIMPY;Isaac puede soltar corazones de alma al recibir dano. los enemigos pueden soltar mitades de corazon rojo al morir.;PASIVO
226;0;BLACK LOTUS;Da un corazon rojo, un corazon de alma y un corazon negro.;PASIVO
227;0;PIGGY BANK;Da 3 monedas. al recibir dano, isaac soltara monedas.;PASIVO
228;0;MOM'S PERFUME;Las lagrimas pueden causar miedo. da lagrimas +1.;PASIVO
229;0;MONSTRO'S LUNG;Isaac obtiene un disparo cargado que lanza 14 lagrimas, similar al ataque de monstro.;PASIVO
230;0;ABADDON;Da dano +1.5 y velocidad +0.2, y puede disparar lagrimas que causan efecto de miedo. remueve todos los corazones rojos y da 6 corazones de alma. ;PASIVO
231;0;BALL OF TAR;Puede disparar lagrimas que ralentizan. isaac deja un rastro de creep que disminuye la velocidad de los enemigos.;PASIVO
232;0;STOP WATCH;Al recibir dano, ralentiza a todos los enemigos en la habitacion. ;PASIVO
233;0;TINY PLANET;Aumenta el rango y hace que las lagrimas orbiten alrededor de isaac.;PASIVO
234;0;INFESTATION 2;Hace aparecer aranas azules al matar enemigos.;PASIVO
236;0;E. COLI;Los enemigos que toquen a isaac son transformados en caca.;PASIVO
237;0;DEATH'S TOUCH;Da dano +1.5 y lagrimas -0.3. las lagrimas son reemplazadas por grandes guadanas perforantes.;PASIVO
238;0;KEY PIECE #1;Combinado con key piece #2, desbloquea la puerta de la habitacion inicial de the chest y the dark room para pelear contra mega satan. aumenta en 12.5% la probabilidad de sala de angel.;PASIVO
239;0;KEY PIECE #2;Combinado con key piece #1, desbloquea la puerta de la habitacion inicial de the chest y the dark room para pelear contra mega satan. aumenta en 12.5% la probabilidad de sala de angel.;PASIVO
240;0;EXPERIMENTAL TREATMENT;Aumenta y disminuye al azar algunas estadisticas.;PASIVO
241;0;CONTACT FROM BELOW;Duplica la recompensa por limpiar habitaciones, pero reduce la probabilidad de obtener recompensas un 33%.;PASIVO
242;0;INFAMY;Puede bloquear proyectiles provenientes de cualquier direccion.;PASIVO
243;0;TRINITY SHIELD;Da un escudo que protege de proyectiles enemigos. apunta en la direccion en la que isaac dispara.;PASIVO
244;0;TECH.5;Isaac a veces dispara un laser perforante ademas de sus lagrimas normales. el laser a veces puede tomar el efecto de objetos y baratijas al azar de una lista de opciones.;PASIVO
245;0;20/20;Isaac dispara dos lagrimas a la vez.;PASIVO
246;0;BLUE MAP;Muestra la ubicacion de la habitacion secreta y super secreta en el mapa.;PASIVO
247;0;BFFS!;Aumenta el tamano y efectividad de la mayoria de familiares.;PASIVO
248;0;HIVE MIND;Aumenta el tamano de las moscas y aranas azules y duplica el dano que hacen. ;PASIVO
249;0;THERE'S OPTIONS;Hace aparecer un segundo objeto al vencer al jefe. solo se puede tomar uno.;PASIVO
250;0;BOGO BOMBS;Todos los recursos de bomba se convierten en bombas dobles.;PASIVO
251;0;STARTER DECK;Isaac puede llevar 2 cartas a la vez. convierte las pildoras en cartas.;PASIVO
252;0;LITTLE BAGGY;Permite llevar 2 pildoras a la vez, y las cartas son reemplazadas por pildoras.;PASIVO
253;0;MAGIC SCAB;Da un contenedor de vida roja lleno y suerte +1.;PASIVO
254;0;BLOOD CLOT;Las lagrimas del ojo izquierdo tienen un aumento plano de dano +1, rango +5 y 0.5 de altura de lagrima.;PASIVO
255;0;SCREW;Da lagrimas +0.5 y velocidad del proyectil +0.2.;PASIVO
256;0;HOT BOMBS;Da 5 bombas. las bombas de isaac dejan un fuego que dana a los enemigos.;PASIVO
257;0;FIRE MIND;Lagrimas de fuego que queman a los enemigos. pueden explotar al golpear a un enemigo, creando un fuego en la posicion de la explosion.;PASIVO
