id;encontrado;nombre;vida;ubicacion
32;0;Red Host;15;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
33;0;Hopper;10;"Basement;Cellar;Burning Basement;Caves;Flooded Caves;Depths;Dank Depths"
34;0;Trite;10;"Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Necropolis"
35;0;Boil;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
36;0;Gut;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
37;0;Sack;20;"Cellar;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
38;0;Spitty;10;"Caves;Catacombs;Flooded Caves"
39;0;Brain;20;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
40;0;Leaper;25;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
41;0;Mr. Maw;25;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
42;0;Mr. Red Maw;25;"Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
43;0;Baby;25;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
44;0;Angelic Baby;25;Cathedral
45;0;Vis;25;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
46;0;Double Vis;25;"Necropolis;Womb;Utero;Scarred Womb;Sheol"
47;0;Chubber;25;"Catacombs;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
48;0;Scarred Double Vis;22;"Womb;Utero;Scarred Womb;Sheol;Dark Room"
49;0;Guts;25;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
50;0;Scarred Guts;28;"Womb;Scarred Womb"
51;0;Knight;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Utero;Sheol;Cathedral"
52;0;Selfless Knight;20;Sheol
53;0;Stone Grimace;0;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
54;0;Vomit Grimace;0;"Catacombs;Necropolis;Utero"
55;0;Poky;0;"Depths;Necropolis;Dank Depths;Womb;Cathedral"
56;0;Slide;0;"Cellar;Caves;Depths;Necropolis;Dank Depths;Womb;Scarred Womb;Cathedral;Chest"
57;0;Dople;20;"Womb;Utero;Scarred Womb"
58;0;Evil Twin;20;"Sheol;Dark Room"
59;0;Flamin Hopper;20;Burning Basement
60;0;Leech;25;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
61;0;Kamikaze Leech;25;"Necropolis;Sheol;Dark Room"
62;0;Holy Leech;25;"Utero;Cathedral"
63;0;Lump;30;"Womb;Utero;Scarred Womb"
64;0;MemBrain;62;"Depths;Dank Depths;Womb;Utero;Scarred Womb;Chest"
65;0;Mama Guts;62;"Necropolis;Womb;Utero;Scarred Womb;Cathedral"
66;0;Para-Bite;35;"Womb;Utero;Scarred Womb"
67;0;Scarred Para-Bite;35;Scarred Womb
68;0;Fred;20;"Womb;Utero;Scarred Womb"
69;0;Eye;20;"Womb;Utero;Scarred Womb"
70;0;Bloodshot Eye;20;"Utero;Sheol"
71;0;Sucker;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol"
72;0;Spit;10;"Cellar;Catacombs;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
73;0;Soul Sucker;18;"Sheol;Dark Room"
74;0;Embryo;12;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Dark Room"
75;0;Moter;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
76;0;Spider;6;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Utero;Scarred Womb;Sheol;Chest"
77;0;Keeper;36;"Catacombs;Depths;Necropolis;Dank Depths;Cathedral,Ultra Greed"
78;0;Gurgle;40;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Sheol"
79;0;Walking Boil;20;"Catacombs;Necropolis;Womb;Utero;Scarred Womb"
80;0;Walking Gut;20;"Caves;Catacombs;Necropolis"
81;0;Walking Sack;20;"Cellar;Catacombs;Depths;Necropolis;Dank Depths"
82;0;Buttlicker;20;"Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
83;0;Hanger;40;"Catacombs;Depths;Necropolis;Dank Depths;Cathedral"
84;0;Swarmer;40;"Caves;Flooded Caves;Depths;Necropolis;Dank Depths;Sheol;Dark Room"
85;0;Mask + Heart;40;"Catacombs;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
86;0;Big Spider;20;"Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Utero;Scarred Womb;Sheol"
88;0;Stone Eye;0;"Womb;Utero;Scarred Womb;Sheol"
89;0;Constant Stone Shooter;0;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
90;0;Cross Stone Shooter;0;"Flooded Caves;Depths;Necropolis;Womb;Utero;Scarred Womb;Sheol;Cathedral"
91;0;Brimstone Head;0;Sheol
92;0;Mobile Host;14;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Sheol;Cathedral"
93;0;Nest;20;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Necropolis"
94;0;Baby Long Legs;16;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
95;0;Small Baby Long Legs;12;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves"
96;0;Crazy Long Legs;16;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Womb;Utero;Scarred Womb"
97;0;Small Crazy Long Legs;12;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Dank Depths;Womb;Utero;Scarred Womb"
98;0;Fatty;20;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves"
99;0;Pale Fatty;20;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Chest"
100;0;Flaming Fatty;18;"Burning Basement;Depths;Necropolis;Dank Depths"
101;0;Fat Sack;16;"Caves;Catacombs;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
102;0;Blubber;16;"Cellar;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
103;0;Half Sack;10;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
104;0;Death's Head;0;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral;Dark Room;Chest"
105;0;Dank Death's Head;20;"Depths;Necropolis;Dank Depths;Sheol;Dark Room"
106;0;Mom's Hand;20;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Chest"
107;0;Level 2 Fly;10;"Basement;Cellar;Burning Basement;Catacombs;Flooded Caves"
108;0;Level 2 Spider;13;"Basement;Cellar;Burning Basement;Catacombs"
109;0;Swinger;38;"Womb;Utero;Scarred Womb"
110;0;Dip;3;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral;Chest"
111;0;Corn;3;"Caves;Catacombs;Flooded Caves"
112;0;Brownie Corn;3;"Basement;Cellar;Burning Basement;Depths"
113;0;Wall Hugger;0;"Basement;Cellar;Burning Basement;Catacombs;Flooded Caves;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
114;0;Wizoob;20;"Depths;Necropolis;Dank Depths;Sheol;Cathedral;Dark Room;Chest"
115;0;Squirt;15;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
116;0;Dank Squirt;15;"Caves;Catacombs;Flooded Caves;Dank Depths;Sheol"
117;0;Cod Worm;20;"Womb;Utero;Scarred Womb"
118;0;Ring Fly;5;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
119;0;Dinga;62;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral;Chest"
120;0;Oob;100;"Womb;Utero;Scarred Womb;Sheol;Chest"
121;0;Black Maw;20;"Sheol;Dark Room"
122;0;Skinny;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb"
123;0;Rotty;16;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Chest"
124;0;Crispy;12;"Burning Basement;Sheol"
125;0;Bony;8;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral;Dark Room;Chest"
126;0;Homunculus;36;"Womb;Utero;Scarred Womb"
127;0;Tumor;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
128;0;Camillo Jr.;32;"Sheol;Dark Room"
129;0;Nerve Ending;20;"Basement;Burning Basement;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Chest"
130;0;Nerve Ending 2;20;"Womb;Utero;Scarred Womb"
131;0;One Tooth;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Sheol"
132;0;Gaping Maw;0;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol"
133;0;Broken Gaping Maw;0;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
134;0;Gurglings;60;"Basement;Catacombs;Womb;Utero;Scarred Womb;Chest"
135;0;Splasher;10;"Caves;Catacombs;Flooded Caves;Necropolis"
136;0;Grub;10;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
137;0;Wall Creep;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
138;0;Rage Creep;10;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
139;0;Blind Creep;10;"Cellar;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
140;0;Conjoined Spitty;18;"Caves;Catacombs;Flooded Caves"
141;0;Round Worm;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
142;0;Tube Worm;20;Flooded Caves
143;0;Ragling;13;"Cellar;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Cathedral;Dark Room"
144;0;Flesh Mobile Host;27;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
145;0;Psychic Horf;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Cathedral"
146;0;Full Fly;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Necropolis;Womb;Utero;Scarred Womb"
147;0;Ticking Spider;13;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Necropolis;Sheol"
148;0;Begotten;60;"Depths;Necropolis;Dank Depths;Sheol;Dark Room"
149;0;Null;30;"Depths;Necropolis;Dank Depths;Sheol;Dark Room;Chest"
150;0;Psy Tumor;40;"Depths;Necropolis;Dank Depths;Cathedral"
151;0;Floating Knight;20;"Depths;Necropolis;Dank Depths;Cathedral"
152;0;Night Crawler;35;"Cellar;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
153;0;Dart Fly;5;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves"
154;0;Conjoined Fatty;20;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Necropolis"
155;0;Blue Conjoined Fatty;60;"???;Chest"
156;0;Fat Bat;35;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Sheol"
157;0;Imp;25;"Sheol;Dark Room;Chest"
158;0;Lil' Haunt;25;"Depths;Necropolis;Dank Depths;Sheol;Cathedral;Dark Room;Chest"
159;0;Roundy;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves"
160;0;Black Bony;8;"Depths;Necropolis;Dank Depths;Sheol;Dark Room"
161;0;Black Globin;33;"Sheol;Dark Room"
162;0;Black Globin's Head;20;"Cellar;Depths;Necropolis;Dank Depths;Sheol"
163;0;Black Globin's Body;10;"Cellar;Depths;Necropolis;Dank Depths;Sheol"
164;0;Swarm Fly;5;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves"
165;0;Mega Clotty;20;"Cellar;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
166;0;Bone Knight;20;"Sheol;Dark Room;Chest"
167;0;Cyclopia;10;"Basement;Cellar;Burning Basement;Depths;Necropolis;Chest"
168;0;Red Ghost;20;"Womb;Utero;Scarred Womb;Sheol;Cathedral;Dark Room"
169;0;Flesh Death's Head;50;"Womb;Utero;Scarred Womb;Sheol;Dark Room"
170;0;Mom's Dead Hand;20;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol"
171;0;Dukie;25;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb"
172;0;Ulcer;10;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Womb;Utero;Scarred Womb"
173;0;Meatball;15;"Womb;Utero;Scarred Womb"
174;0;Corn Mine;8;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
175;0;Hush Fly;10;"Depths;Necropolis;Dank Depths;???"
176;0;Blue Gaper;16;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;???"
177;0;Blue Boil;20;"???;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
178;0;Greed Gaper;9;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Ultra Greed"
179;0;Mushroom;23;"Caves;Catacombs;Flooded Caves"
180;0;Poison Mind;20;"Necropolis;Womb;Utero;Scarred Womb"
181;0;Stoney;0;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Scarred Womb;Sheol;Cathedral"
182;0;Blister;16;"Catacombs;Depths;Necropolis;Dank Depths;Utero"
183;0;The Thing;15;"Catacombs;Depths;Necropolis;Dank Depths"
184;0;Ministro;9;"Basement;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Dank Depths;Scarred Womb;Chest"
185;0;Portal;9;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
186;0;Tar Boy;55;Dank Depths
187;0;Fistuloid;30;"Womb;Scarred Womb"
188;0;Gush;20;Dank Depths
189;0;Leper;60;Scarred Womb
190;0;Leper Flesh;5;Scarred Womb
191;0;Mr. Mine;20;Flooded Caves
192;0;Larry Jr.;22;"Basement;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Chest"
193;0;The Hollow;22;"Catacombs;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Chest"
194;0;Monstro;250;"Basement;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Chest;Dark Room"
195;0;Chub;350;"Caves;Flooded Caves;Catacombs;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Dark Room;Chest"
196;0;C.H.A.D.;350;"Caves;Flooded Caves;Chest"
197;0;Carrion Queen;350;"Catacombs;Chest;Dark Room"
198;0;Gurdy;595;"Caves;Flooded Caves;Womb;Utero;Scarred Womb;Chest"
199;0;Ultra Pride;85;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Sheol;Chest;Dark Room;The void"
200;0;Monstro II;632;"Depths;Dank Depths;The void;Sheol;Cathedral;Chest;Dark Room"
201;0;Gish;632;"Depths;Dank Depths;The void;Dark Room"
202;0;Mom;645;"Depths;Necropolis;Dank Depths;The void"
203;0;Sloth;60;"Womb;Utero;Scarred Womb;Cathedral;Sheol;Chest;Dark Room"
204;0;Super Sloth;60;"Chest;Dark Room"
206;0;Lust;60;"Womb;Utero;Scarred Womb;Sheol;Chest;Dark Room"
207;0;Super Lust;60;"Chest;Dark Room"
208;0;Wrath;60;"Womb;Utero;Scarred Womb;Cathedral;Sheol;Chest;Dark Room"
209;0;Super Wrath;60;"Cathedral;Sheol;Chest;Dark Room"
210;0;Gluttony;60;"Womb;Utero;Scarred Womb;Cathedral;Sheol;Chest;Dark Room"
211;0;Super Gluttony;60;"Sheol;Chest;Dark Room"
212;0;Greed;60;"Cathedral;Sheol;Chest;Dark Room"
213;0;Super Greed;60;"Depths;Necropolis;Dank Depths;Cathedral;Sheol;Chest;Dark Room"
214;0;Envy;40;"Womb;Utero;Scarred Womb;Cathedral"
215;0;Super Envy;60;"Cathedral;Chest;Dark Room"
216;0;Pride;60;Cathedral
217;0;Super Pride;60;"Chest;Dark Room"
218;0;Pin;100;"Cellar;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Chest"
219;0;Scolex;300;"Womb;Scarred Womb;The void"
220;0;The Frail;300;"Caves;Catacombs;Flooded Caves;The void"
221;0;Famine;240;"Basement;Cellar;Burning Basement;Cathedral;Sheol;Chest;Dark Room"
222;0;Pestilence;280;"Caves;Catacombs;Flooded Caves;Cathedral;Sheol;Chest;Dark Room"
223;0;War;500;"Depths;Necropolis;Dank Depths;The void;Cathedral;Sheol;Chest;Dark Room"
224;0;Conquest;500;"Womb;Utero;Scarred Womb;The void;Cathedral;Chest;Dark Room"
225;0;Death;450;"Utero;Womb;Scarred Womb;The void;Cathedral;Sheol;Chest;Dark Room"
226;0;The Duke of Flies;110;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral;Chest"
227;0;The Husk;150;"Catacombs;Depths;Necropolis;Utero;Sheol;Chest;Dark Room"
228;0;Peep;450;"Caves;Catacombs;Flooded Caves;Womb;Scarred Womb;Cathedral;Sheol;Chest;Dark Room"
229;0;The Bloat;450;"Necropolis;Womb;Utero;Scarred Womb;The void;Cathedral;Chest;Dark Room"
230;0;Loki;350;"Depths;Necropolis;Dank Depths;The void;Utero;Womb;Scarred Womb;Sheol;Cathedral;Chest;Dark Room"
231;0;Lokii;700;"Womb;Utero;The void;Sheol;Chest;Dark Room"
232;0;Fistula;60;"Cellar;Caves;Flooded Caves;Depths;Dank Depths;Womb;Utero;Scarred Womb;Chest;Cathedral;Sheol"
233;0;Terotoma;60;"Womb;Utero;Scarred Womb;The void;Catacombs;Necropolis;Sheol;Depths;Necropolis;Dank Depths;Dark Room;Chest"
234;0;Blastocyst;190;"Womb;Utero;Scarred Womb;The void;Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Chest;Dark Room;Sheol"
235;0;Mom's Heart;950;"Womb;Utero;The void;Scarred Womb"
236;0;It Lives;950;"Womb;Utero;Scarred Womb;The void"
237;0;Gemini;280;"Basement;Caves;Catacombs;Womb;Utero;Scarred Womb;Sheol;Cathedral;Chest"
238;0;Steven;280;"Basement;Sheol"
239;0;Blighted Ovum;140;"Cellar;Necropolis;Sheol;Cathedral;Chest;Dark Room"
240;0;The Fallen;60;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;The void;Dark Room;Chest"
241;0;Krampus;60;The void
242;0;The Headless Horseman;160;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;The void;Cathedral;Sheol;Chest;Dark Room"
243;0;Satan;1200;"Sheol;The void"
244;0;Mask Of Infamy;350;"Necropolis;The void;Dark Room"
245;0;Gurdy Jr.;250;"Caves;Catacombs;Flooded Caves;Depths;Womb;Utero;Scarred Womb;Cathedral;Chest;Dark Room"
246;0;Widow;130;"Cellar;Scarred Womb;Cathedral;Chest;Dark Room"
247;0;The Wretched;215;"Catacombs;Depths;Utero;Scarred Womb;Sheol;Chest;Dark Room"
248;0;Daddy Long Legs;500;"Womb;Utero;Scarred Womb;The void;Cathedral;Chest;Dark Room"
249;0;Triachnid;500;"Womb;Utero;Scarred Womb;The void"
250;0;Isaac;2000;"Cathedral;The void"
251;0;???;2000;"Chest;The void"
253;0;turdlings;50;"Basement;Catacombs;Womb;Utero;Scarred Womb;Chest"
254;0;The Haunt;200;"Cellar;Burning Basement;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral;Chest;Dark Room"
255;0;Dingle;300;"Basement;Caves;Catacombs;Womb;Utero;Depths;Necropolis;Dank Depths;Scarred Womb;Cathedral;Chest"
256;0;Dangle;375;"Basement;Necropolis;Womb;Utero;Scarred Womb;Chest"
257;0;Mega Maw;350;"Caves;Womb;Utero;Scarred Womb;Sheol;Cathedral;Dark Room;Chest"
258;0;The Gate;500;"Depths;Necropolis;The void;Womb;Utero;Sheol;Chest;Dark Room"
259;0;Mega Fatty;600;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral;Dark Room;Chest"
260;0;The Cage;800;"Depths;The void;Womb;Utero;Sheol;Chest;Dark Room"
261;0;Mama Gurdy;750;"Womb;Utero;Scarred Womb;The void"
262;0;Dark One;400;"Caves;Catacombs;Flooded Caves;Sheol;Chest;Dark Room"
263;0;The Adversary;520;"Depths;Necropolis;Dank Depths;The void;Sheol;Chest;Dark Room"
264;0;Polycephalus;200;"Catacombs;Flooded Caves;Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Chest;Dark Room"
265;0;Mr. Fred;500;"Womb;Utero;The void"
266;0;Uriel;400;Cathedral
267;0;Mega Satan;5000;"Chest;Dark Room"
268;0;Gabriel;660;Cathedral
269;0;The Lamb;2600;"Dark Room;The void"
270;0;The Stain;400;"Caves;Catacombs;Flooded Caves;Sheol;Dark Room;Chest"
271;0;Brownie;400;"Depths;Necropolis;Dank Depths;The void;Chest;Dark Room"
272;0;The Forsaken;220;"Caves;Catacombs;Flooded Caves;The void;Chest;Dark Room"
273;0;Little Horn;200;"Basement;Cellar;Burning Basement;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Chest;Dark Room"
274;0;Rag Man;200;"???;Basement;Cellar;Burning Basement;Depths;Necropolis;Cathedral;Sheol;Chest;Basement;Dark Room"
275;0;Ultra Greed;3500;The void
276;0;Ultra Greedier;2500;The void
277;0;Hush;6666;???
278;0;Rag Mega;120;"Caves;Catacombs;Flooded Caves;Chest;Dark Room"
279;0;Sisters Vis;350;"Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;The void;Sheol;Chest;Dark Room"
280;0;Big Horn;480;"Caves;Flooded Caves;Catacombs;Chest;Dark Room"
281;0;Delirium;10000;The void
282;0;The Matriarch;700;"Womb;Utero;Scarred Womb;Cathedral;Chest"
