ID;ENCONTRADO;ITEM;EFECTO;
77;0;MY LITTLE UNICORN;Da invencibilidad y Velocidad +0.28 durante 6 segundos, pero Isaac no puede disparar. En este estado, causa 40 de daNo por contacto a los enemigos.;
78;0;BOOK OF REVELATIONS;Da un corazon de alma, aumenta la probabilidad de que aparezca la Habitacion del Diablo o Habitacion del angel y tiene una probabilidad de cambiar al jefe del piso por un Jinete del Apocalipsis.;
79;0;THE MARK;Da un corazon de alma, DaNo +1 y Velocidad +0.2.;
80;0;THE PACT;Da DaNo +.5, Lagrimas +0.7 y 2 corazones de alma.;
81;0;DEAD CAT;Deja a Isaac con solo 1 contenedor de vida roja, pero da 9 vidas extra. Isaac revive con 1 contenedor de vida roja.;
82;0;LORD OF THE PIT;Da vuelo y Velocidad +0.3.;
83;0;THE NAIL;Da un corazon de alma. Durante la habitacion actual, Isaac recibe DaNo 0.7, Velocidad -0.18 y permite destruir rocas y causar daNo a los enemigos al caminar hacia ellos;
84;0;WE NEED TO GO DEEPER;Crea una trampilla al siguiente piso.;
85;0;DECK OF CARDS;Da una carta al azar.;
86;0;MONSTRO'S TOOTH;Un Monstro aliado salta sobre un enemigo al azar, causando 120 de daNo en area. Cae sobre Isaac si no hay enemigos en la habitacion.;
87;0;LOKI'S HORNS;Isaac puede disparar 4 lagrimas en las direcciones cardinales.;
88;0;LITTLE CHUBBY;Un familiar que carga y embiste hacia adelante, causando daNo por contacto en su camino.;
89;0;SPIDER BITE;Las lagrimas pueden ralentizar.;
90;0;THE SMALL ROCK;Da DaNo +1, Lagrimas +0.2 y Velocidad -0.2.;
91;0;SPELUNKER HAT;Revela el tipo de las habitaciones adyacentes, incluyendo la habitacion secreta y super secretas.;
92;0;SUPER BANDAGE;Da un contenedor de vida roja lleno y dos corazones de alma.;
93;0;THE GAMEKID;Da invencibilidad durante 6 segundos, y todos los enemigos recibiran efecto de miedo. Isaac recuperara medio corazon rojo por cada 2 enemigos matados.;
94;0;SACK OF PENNIES;Un familiar que suelta una moneda cada 2 habitaciones.;
95;0;ROBO-BABY;Un familiar que dispara laseres de Technology.;
96;0;LITTLE C.H.A.D;Un familiar que suelta mitades de corazon rojo cada 3 habitaciones.;
97;0;THE BOOK OF SIN;Hace aparecer un recurso, pildora, carta o baratija al azar.;
98;0;THE RELIC;Un familiar que suelta corazones de alma cadad 5-6 habitaciones.;
99;0;LITTLE GISH;Un familiar que dispara lagrimas que ralentizan.;
100;0;LITTLE STEVEN;Un familiar que dispara lagrimas que siguen a los enemigos.;
101;0;THE HALO;Da un contenedor de vida roja lleno, DaNo +0.3, Lagrimas +0.2, Rango +0.25, Velocidad +0.3 y +0.5 de altura de lagrima.;
102;0;MOM'S BOTTLE OF PILLS;Genera una pildora al azar.;
103;0;THE COMMON COLD;Las lagrimas pueden ser venenosas.;
104;0;THE PARASITE;Las lagrimas de Isaac se dividen en 2 al impactar.;
105;0;THE D6;Cambia los objetos de la habitacion actual por otros objetos de la fuente de obtencion de objetos de la misma habitacion.;
106;0;MR. MEGA;Da 5 bombas. Las bombas seran mas grandes y tendran un mayor alcance y daNo.;
107;0;PINKING SHEARS;Da vuelo durante la habitacion actual, y convierte el cuerpo de Isaac en un familiar rapido que causa mucho daNo por contacto.;
108;0;THE WAFER;Todas las fuentes de daNo causan solo medio corazon de daNo.;
109;0;MONEY=POWER;Da de DaNo +0.04 por cada moneda que Isaac tenga.;
110;0;MOM'S CONTACTS;Da Rango +0.25. Puede disparar lagrimas que petrifican.;
111;0;THE BEAN;Isaac suelta un gas que envenena a los enemigos cercanos.;
112;0;GUARDIAN ANGEL;Un familiar orbital que bloquea proyectiles y causa daNo por contacto. Aumenta la velocidad a la que orbitan el resto de familiares.;
113;0;DEMON BABY;Un familiar que sigue a Isaac y dispara automaticamente a los enemigos a su alcance.;
114;0;MOM'S KNIFE;Reemplaza las lagrimas de Isaac por un cuchillo que perfora y puede pasar a traves de obstaculos. Puede daNar mientras Iasac lo sostiene, y cargar permite lanzarlo.;
115;0;OUIJA BOARD;Da lagrimas espectrales que pueden atravesar obstaculos.;
116;0;9 VOLT;Reduce las cargas de los objetos activables en 1. Los objetos de 1 carga se cargan con el tiempo.;
117;0;DEAD BIRD;Al recibir daNo, hace aparecer un familiar que sigue a los enemigos durante la habitacion actual y causa ~5 de daNo por contacto.;
118;0;BRIMSTONE;Las lagrimas son reemplazadas por un rayo laser que atraviesa a todos los enemigos y obstaculos en su camino y causa mucho daNo. Necesita ser cargado.;
119;0;BLOOD BAG;Da un contenedor de vida roja, cura 5 corazones rojos y da Velocidad+ 0.3.;
120;0;ODD MUSHROOM (THIN);Da Lagrimas +1.7, Velocidad +0.3 y reduce ligeramente el daNo. ;
121;0;ODD MUSHROOM (LARGE);Da un contenedor de vida roja vacio, DaNo +0.3, Rango +0.25, +0.5 de altura de lagrima y Velocidad -0.1.;
122;0;WHORE OF THE BABYLON;Da DaNo +1.5 y Velocidad +0.3 cuando Isaac tiene medio corazon rojo o menos, ignorando corazones de alma o negros.;
123;0;MONSTER MANUAL;Hace aparecer un familiar de una seleccion especifica durante la habitacion actual;
124;0;DEAD SEA SCROLLS;Activa un efecto al azar de una lista de objetos activables. No se incluyen todos los objetos activables.;
125;0;BOBBY-BOMB;Da 5 bombas. Las bombas seguiran a los enemigos.;
126;0;RAZOR BLADE;Isaac recibe un corazon de daNo y obtiene DaNo +1.2 durante la habitacion actual.;
127;0;FORGET ME NOW;Reinicia el piso actual y se consume.;
128;0;FOREVER ALONE;Una mosca que orbita lejos, causando 30 de daNo por segundo.;
129;0;BUCKET OF LARD;Da 2 contenedores de vida roja vacios y cura a Isaac medio corazon, pero pierde Velocidad- 0.2.;
130;0;A PONY;Permite volar mientras se lleve el objeto, y aumenta la velocidad hasta que sea minimo de 1.5. Al activarlo, Isaac embiste en la direccion en la que el pony apunta, dandole invencibilidad durante la embestida y causando 40 de daNo.;
131;0;BOMB BAG;Un familiar que suelta bombas cada 3 habitaciones.;
132;0;A LUMP OF COAL;Las lagrimas hacen mas daNo conforme viajan mas distancia.;
133;0;GUPPY'S PAW;Convierte un contenedor de vida roja en tres corazones de alma.;
134;0;GUPPY'S TAIL;Las recompensas por limpiar habitaciones tienen un 33% de probabilidad de ser reemplazadas por un cofre y un 33% de probabilidad de ser reemplazadas por nada.;
135;0;IV BAG;Isaac recibe medio corazon de daNo (o un corazon a partir de {{P|Womb}}) y recibe una cantidad aleatoria de monedas, similar a usar una maquina de donacion de sangre.;
136;0;BEST FRIEND;Hace aparecer un seNuelo que explota despues de un momento con un radio de explosion mas grande que el de una bomba.;
137;0;REMOTE DETONATOR;Las bombas colocadas por Isaac solo explotaran cuando Isaac active Remote Detonator. Da 5 bombas.;
138;0;STIGMATA;Da un contenedor de vida roja y aumenta el daNo.;
139;0;MOM'S PURSE;Permite llevar una segunda baratija a la vez.;
140;0;BOB'S CURSE;Da 5 bombas y le da a las bombas de Isaac efecto venenoso.;
141;0;PAGEANT BOY;Hace aparecer 7 monedas al azar.;
142;0;SCAPULAR;Una vez por habitacion, cuando Isaac recibe daNo y solo le queda medio corazon de vida, obtiene un corazon de alma.;
143;0;SPEED BALL;Da Velocidad +0.3 y Velocidad del proyectil +0.2.;
144;0;BUM FRIEND;Un familiar que recoge monedas y da recursos al azar a cambio. No suelta objetos de pedestal.;
145;0;GUPPY'S HEAD;Hace aparecer 2-4 moscas azules.;
146;0;PRAYER CARD;Da un corazon eterno.;
147;0;NOTCHED AXE;Isaac destruye obstaculos y puede abrir la entrada a las habitaciones secretas al pasar hacia ellas, pero no puede disparar o recoger objetos hasta cancelar el efecto.;
148;0;INFESTATION;Hace aparecer 1-3 moscas azules al recibir daNo. ;
149;0;IPECAC;Las lagrimas son explosivas y venenosas, y se disparan en arco desde la boca.;
150;0;TOUGH LOVE;Puede disparar dientes en lugar de lagrimas, los cuales causan mas daNo.;
151;0;THE MULLIGAN;Las lagrimas tienen 1/6 de probabilidad de generar moscas azules al golpear a un enemigo.;
152;0;TECHNOLOGY 2;Reemplaza las lagrimas del ojo derecho por un laser perforante de rango ilimitado que dispara continuamente. ;
153;0;MUTANT SPIDER;Da disparo cuadruple pero disminuye la cadencia.;
154;0;CHEMICAL PEEL;Las lagrimas del ojo izquierdo tienen un aumento plano de DaNo +2.;
155;0;THE PEEPER;Un familiar que flota por la habitacion diagonalmente, causando daNo por contacto.;
156;0;HABIT;Recibir daNo da una carga al objeto activable.;
157;0;BLOODY LUST;Aumenta el daNo de Isaac al recibir daNo, hasta 6 veces. La bonificacion se reinicia al pasar a un nuevo piso.;
158;0;CRYSTALL BALL;Revela el mapa (excepto la Habitacion Super Secreta y suelta un corazon de alma o una carta/runa al azar.;
159;0;SPIRIT OF THE NIGHT;Da vuelo y lagrimas espectrales.;
160;0;CRACK THE SKY;Invoca 5 rayos de luz en ubicaciones aleatorias, causando mucho daNo a los enemigos que los toquen.;
161;0;ANKH;Al morir, el jugador revive como ??? con 3 corazones de alma.;
162;0;CELTIC CROSS;Tiene una probabilidad de dar un escudo que anula todo tipo de daNo durante 7 segundos al recibir daNo.;
163;0;GHOST BABY;	Un familiar que dispara lagrimas espectrales.;
164;0;THE CANDLE;Lanza una llama temporal que pasa por encima de agujeros (pero no obstaculos). La llama daNa a todo en su camino.;
165;0;CAT-O-NINE-TAILS;Da DaNo +1 y Velocidad del Proyectil +0.23.;
166;0;D20;Cambia todos los recursos de la habitacion.;
167;0;HARLEQUIN BABY;Un familiar que dispara dos lagrimas a la vez diagonalmente.;
168;0;EPIC FETUS;Las lagrimas de Isaac son reemplazadas por misiles guiados, como los de Doctor's Remote.;
169;0;POLYPHEMUS;Isaac dispara lagrimas grandes que causan mucho daNo pero reduce mucho su cadencia. Si una lagrima mata a un enemigo, lo atraviesa con el daNo restante.;
170;0;DADDY LONGLENGS;La sombra de Daddy Long Legs seguirá a Isaac y a veces pisa a los enemigos.;
171;0;SPIDER BUTT;Causa 10 de daNo a todos los enemigos en la habitacion y los ralentiza durante 10 segundos.;
172;0;SACRIFICAL DAGGER;Un familiar orbital que causa 225 de daNo por segundo al contacto y bloquea proyectiles.;
173;0;MITRE;Puede convertir corazones rojos en corazones de alma.;
174;0;RAINBOW BABY;Un familiar que dispara lagrimas con efectos al azar.;
175;0;DAD'S KEY;Abre todas las puertas en la habitacion actual.;
176;0;STEM CELLS;Da un contenedor de vida roja lleno y Velocidad del proyectil +0.16.;
177;0;PORTABLE SLOT;Gasta 1 moneda y tiene una probabilidad de soltar un recurso al azar.;
178;0;HOLY WATER;Un familiar que se rompe cuando Isaac recibe daNo, dejando un charco de creep azul. ;
179;0;FATE;Da vuelo y 1 corazon eterno.;
180;0;THE BLACK BEAN;Cuando Isaac recibe daNo, suelta un gas que envenena a los enemigos cercanos.;
181;0;WHITE PONY;Pasivamente da vuelo y aumenta la velocidad hasta tener 1.5. Al activarlo, Isaac embiste en la direccion en la que el pony este viendo, dando invencibilidad durante la carga y causando 40 de daNo mientras invoca el efecto de Crack the Sky.;
182;0;SACRED HEART;Da DaNo x2.3, un aumento base de DaNo +1, Rango +4.125, +0.75 de altura de lagrima, Lagrimas -0.4, Velocidad del proyectil -0.25, un contenedor de vida roja y cura toda la vida roja. Las lagrimas tambien seguiran a los enemigos.;
183;0;TOOTHPICKS;Da Lagrimas +0.7 y Velocidad del proyectil +0.16.;
184;0;HOLY GRAIL;Da vuelo y 1 contenedor de vida roja.;
185;0;DEAD DOVE;Da vuelo y lagrimas espectrales.;
186;0;BLOOD RIGHTS;Al activarlo, Isaac recibe un corazon de daNo y causa 40 de daNo a todos los enemigos en la habitacion.;
187;0;GUPPY'S HAIRBALL;Un familiar que sigue a Isaac, bloquea proyectiles y causa daNo. Crece al matar enemigos.;
188;0;ABEL;Hace aparecer un familiar que imita los movimientos de Isaac y dispara en direccion opuesta.;
189;0;SMB SUPER FAN;Da un contenedor de vida roja, DaNo +0.3, Lagrimas +0.2, Velocidad +0.2, Rango +0.5, +1 de altura de lagrima y cura completamente la vida roja.;
190;0;PYRO;Da 99 bombas.;
191;0;3 DOLLAR BILL;Da efectos de lagrima al azar en cada habitacion. ;
192;0;TELEPATH FOR DUMMIES;Da efecto de lagrimas que van hacia el enemigo durante la habitacion actual.;
193;0;MEAT!;Da un contenedor de vida roja lleno y DaNo +0.3.;
194;0;MAGIC 8 BALL;Da Velocidad del proyectil +0.16, hace aparecer una carta al azar.;
195;0;MOM'S COIN PURSE;Hace aparecer 4 pildoras al azar.;
196;0;SQUEEZY;Da Lagrimas +0.4 y hace aparecer 2 corazones de alma.;
197;0;JESUS JUICE;Da DaNo +0.5, Rango +0.25 y +0.5 de altura de lagrima.;
198;0;BOX;Hace aparecer 1 moneda, 1 llave, 1 bomba, 1 corazon rojo, 1 carta o runa, 1 pildora y 1 baratija.;
199;0;MOM'S KEY;Da 2 llaves. Los cofres soltaran mas recursos.;
200;0;MOM'S EYESHADOW;Las lagrimas pueden enamorar a los enemigos.;
201;0;IRON BAR;Da DaNo +0.3 y puede disparar lagrimas que aturden.;
202;0;MIDAS TOUCH;Los enemigos que toquen a Isaac son petrificados temporalmente y convertidos en oro. Los enemigos matados en este estado soltaran monedas.;
203;0;HUMBLING BUNDLE;Reemplaza los corazones rojos, monedas, llaves y bombas por sus versiones dobles.;
204;0;FANNY PACK;Isaac puede soltar recursos al azar al recibir daNo.;
205;0;SHARP PLUG;DaNa a Isaac a cambio de recargar el objeto activable actual.;
206;0;THE GUILLOTINE;Remueve la cabeza de Isaac de su cuerpo y vuela a su alrededor como un orbital. Da DaNo +1 y Lagrimas +1.;
207;0;BALL OF BANDAGES;Hace aparecer un familiar orbital que bloquea proyectiles y causa daNo por contacto. Conseguir copias adicionales le da la habilidad de disparar lagrimas que enamoran, despues persigue a los enemigos y despues aumenta el daNo.;
208;0;CHAMPION BELT;Aumenta el daNo y la probabilidad de que aparezcan enemigos campeones.;
209;0;BUTT BOMBS;Da 5 bombas. Las bombas crean una nube que cubre toda la pantalla, daNando y confundiendo a todos los enemigos.;
210;0;GNAWED LEAF;Al no moverse y no disparar, Isaac se vuelve invencible hasta que se mueva o dispare.;
211;0;SPIDER BABY;Al recibir daNo, genera 1-2 araNas azules.;
212;0;GUPPY'S COLLAR;Al morir, Isaac tiene un 50% de probabilidad de revivir con medio corazon.;
213;0;LOST CONTACT;Las lagrimas pueden destruir proyectiles enemigos. Da Velocidad del proyectil -0.16.;
214;0;ANEMIC;Aumenta el rango. Al recibir daNo, Isaac deja un rastro de creep rojo hasta salir de la habitacion.;
215;0;GOAT HEAD;La habitacion del pacto siempre se abrira tras vencer al jefe del piso, excepto en el primer piso y despues de The Womb II.;
216;0;CEREMONIAL ROBES;Da 3 corazones negros y DaNo +1.;
217;0;MOM'S WIG;Puede hacer aparecer araNas azules mientras se dispara. Cura 1 corazon rojo.;
218;0;PLACENTA;Da un contenedor de vida roja lleno, y regenera medio corazon rojo cada minuto.;
219;0;OLD BANDAGE;Da un contenedor de vida roja vacio. Isaac puede soltar corazones rojos al recibir daNo.;
220;0;SAD BOMBS;Da 5 bombas. Al explotar, las bombas disparan 10 lagrimas a su alrededor que toman los efectos de lagrima de Isaac.;
221;0;RUBBER CEMENT;Las lagrimas rebotan al chocar contra paredes, enemigos y obstaculos.;
222;0;ANTI-GRAVITY;Da Lagrimas +2. Las lagrimas flotan en una posicion hasta que se deje de disparar, y entonces vuelan en la direccion en la que fueron disparadas.;
223;0;PYROMANIAC;Da 5 bombas y las explosiones curan a Isaac en lugar de hacerle daNo.;
224;0;CRICKET'S BODY;Da Lagrimas -1 y reduce el rango. Cuando las lagrimas impactan, hacen aparecer 4 lagrimas mas pequeNas cuyo rango y daNo escalan con los atributos de Isaac.;
225;0;GIMPY;Isaac puede soltar corazones de alma al recibir daNo. Los enemigos pueden soltar mitades de corazon rojo al morir.;
226;0;BLACK LOTUS;Da un corazon rojo, un corazon de alma y un corazon negro.;
227;0;PIGGY BANK;Da 3 monedas. Al recibir daNo, Isaac soltara monedas.;
228;0;MOM'S PERFUME;Las lagrimas pueden causar miedo. Da Lagrimas +1.;
229;0;MONSTRO'S LUNG;Isaac obtiene un disparo cargado que lanza 14 lagrimas, similar al ataque de Monstro.;
230;0;ABADDON;Da DaNo +1.5 y Velocidad +0.2, y puede disparar lagrimas que causan efecto de miedo. Remueve todos los corazones rojos y da 6 corazones de alma. ;
231;0;BALL OF TAR;Puede disparar lagrimas que ralentizan. Isaac deja un rastro de creep que disminuye la velocidad de los enemigos.;
232;0;STOP WATCH;Al recibir daNo, ralentiza a todos los enemigos en la habitacion. ;
233;0;TINY PLANET;Aumenta el rango y hace que las lagrimas orbiten alrededor de Isaac.;
234;0;INFESTATION 2;Hace aparecer araNas azules al matar enemigos.;
236;0;E. COLI;Los enemigos que toquen a Isaac son transformados en caca.;
237;0;DEATH'S TOUCH;Da DaNo +1.5 y Lagrimas -0.3. Las lagrimas son reemplazadas por grandes guadaNas perforantes.;
238;0;KEY PIECE #1;Combinado con Key Piece #2, desbloquea la puerta de la habitacion inicial de The Chest y The Dark Room para pelear contra Mega Satan. Aumenta en 12.5% la probabilidad de sala de angel.;
239;0;KEY PIECE #2;Combinado con Key Piece #1, desbloquea la puerta de la habitacion inicial de The Chest y The Dark Room para pelear contra Mega Satan. Aumenta en 12.5% la probabilidad de sala de angel.;
240;0;EXPERIMENTAL TREATMENT;Aumenta y disminuye al azar algunas estadisticas.;
241;0;CONTACT FROM BELOW;Duplica la recompensa por limpiar habitaciones, pero reduce la probabilidad de obtener recompensas un 33%.;
242;0;INFAMY;Puede bloquear proyectiles provenientes de cualquier direccion.;
243;0;TRINITY SHIELD;Da un escudo que protege de proyectiles enemigos. Apunta en la direccion en la que Isaac dispara.;
244;0;TECH.5;Isaac a veces dispara un laser perforante ademas de sus lagrimas normales. El laser a veces puede tomar el efecto de objetos y baratijas al azar de una lista de opciones.;
245;0;20/20;Isaac dispara dos lagrimas a la vez.;
246;0;BLUE MAP;Muestra la ubicacion de la habitacion secreta y super secreta en el mapa.;
247;0;BFFS!;Aumenta el tamaNo y efectividad de la mayoria de familiares.;
248;0;HIVE MIND;Aumenta el tamaNo de las moscas y araNas azules y duplica el daNo que hacen. ;
249;0;THERE'S OPTIONS;Hace aparecer un segundo objeto al vencer al jefe. Solo se puede tomar uno.;
250;0;BOGO BOMBS;Todos los recursos de bomba se convierten en bombas dobles.;
251;0;STARTER DECK;Isaac puede llevar 2 cartas a la vez. Convierte las pildoras en cartas.;
252;0;LITTLE BAGGY;Permite llevar 2 pildoras a la vez, y las cartas son reemplazadas por pildoras.;
253;0;MAGIC SCAB;Da un contenedor de vida roja lleno y Suerte +1.;
254;0;BLOOD CLOT;Las lagrimas del ojo izquierdo tienen un aumento plano de DaNo +1, Rango +5 y 0.5 de altura de lagrima.;
255;0;SCREW;Da Lagrimas +0.5 y Velocidad del proyectil +0.2.;
256;0;HOT BOMBS;Da 5 bombas. Las bombas de Isaac dejan un fuego que daNa a los enemigos.;
257;0;FIRE MIND;Lagrimas de fuego que queman a los enemigos. Pueden explotar al golpear a un enemigo, creando un fuego en la posicion de la explosion.;
258;0;MISSING NO.;Cambia todos los objetos pasivos de Isaac al recogerlo y al comenzar cada piso.;
259;0;DARK MATTER;Da DaNo +1 y puede disparar lagrimas de miedo.;
260;0;BLACK CANDLE;Previene las maldiciones, da un corazon negro y aumenta la probabilidad de que aparezca la habitacion del pacto.;
261;0;PROPTOSIS;Las lagrimas comienzan siendo grandes y se vuelven mas pequeNas y debiles al alejarse.;
262;0;MISSING PAGE 2;Da un corazon negro. Al recibir daNo que reduce la vida de Isaac a un corazon o menos, causa daNo a todos los enemigos de la habitacion.;
264;0;SMART FLY;Un familiar orbital que bloquea proyectiles. Cuando Isaac recibe daNo, el familiar persigue a los enemigos y causa 22.5 de daNo por segundo.;
265;0;DRY BABY;Un familiar que sigue a Isaac y bloquea proyectiles. Al bloquear un proyectil, tiene una probabilidad de activar el efecto de The Necronomicon.;
266;0;JUICY SACK;,Un familiar que deja un rastro de creep que ralentiza y hace aparecer 1-2 araNas azules tras cada habitacion.;
267;0;ROBO-BABY 2.0;Un familiar que dispara laseres a los enemigos en su linea de vision y se mueve con los controles de disparo de Isaac.;
268;0;ROTTEN BABY;Un familiar que genera moscas azules cuando Isaac dispara. Solo puede tener una mosca a la vez.;
269;0;HEADLESS BABY;Un familiar que sigue a Isaac, dejando un rastro de creep de sangre.;
270;0;LEECH;Un familiar sanguijuela que sigue a los enemigos y causa 3 de daNo por segundo. Cura medio corazon rojo al matar a un enemigo.;
271;0;MYSTERY SACK;Un familiar que suelta un corazon, moneda, bomba o llave cada 5-6 habitaciones.;
272;0;BBF;Hace aparecer una mosca familiar que vuela por la habitacion en diagonal y explota al entrar en contacto con un enemigo. Reaparece despues de 10 segundos.;
273;0;BOB'S BRAIN;Hace aparecer un familiar que embiste hacia adelante cuando se disparan lagrimas y explota al entrar en contacto con un enemigo, daNandolo y envenenandolo. Reaparece tras unos segundos.;
